id,slug,name,craftTitle,masterName,category,city,district,neighborhood,address,latitude,longitude,phone,whatsapp,rating,reviewCount,tier,minPrice,maxPrice,experienceYears,priceNote
silivrikapi-pet-1,pet-style-pet-kuafor-fatih,Pet Style Pet Kuaför & Bakım Merkezi,Kedi Köpek Makas Tıraşı Banyo & Tırnak Kesimi,Ezgi Hanım,pet-kuafor,İstanbul,Fatih,Silivrikapı,Silivrikapı Mah. Koca Mustafa Paşa Cad. No:118,41.0010,28.9280,0212 555 01 33,905550000133,4.8,125,standard,380,1300,7,Kedi dostu sakin ortam ve hijyenik steril havlular.
balat-ahsap-1,balat-ahsap-mobilya-restorasyon,Balat Ahşap & Sandalye Yenileme,Ahşap Döşeme Boya & İskelet Güçlendirme,Davut Usta,tamir-elektronik,İstanbul,Fatih,Balat,Balat Mah. Yıldırım Cad. No:44,41.0320,28.9480,0212 555 01 34,905550000134,4.8,68,standard,250,2200,29,Geleneksel lengerli yaylı döşeme ve ceviz koruma.
eminonu-cilingir-1,eminonu-tahtakale-cilingir-merkezi,Eminönü Tahtakale Çilingir & Kilit Merkezi,Oto Anahtar Çipli İmmobilizer & Kilit Sistemleri,Mustafa Usta,acil-ev,İstanbul,Fatih,Tahtakale (Rüstem Paşa),Rüstem Paşa Mah. Uzunçarşı Cad. No:72,41.0160,28.9690,0212 555 01 35,905550000135,4.9,215,plus,250,1200,32,Tüm yerli yabancı marka anahtar ve immobilizer kopyalama.
fatih-terzi-1,fatih-klasik-terzi-lostra,Fatih Klasik Terzi & Lostra Salonu,Takım Elbise Boy Kıvrımı Ceket Kolu & Boya,İlyas Usta,terzi-lostra,İstanbul,Fatih,Ali Kuşçu,Ali Kuşçu Mah. Fevzipaşa Cad. No:84,41.0190,28.9500,0212 555 01 36,905550000136,4.7,110,standard,100,750,34,Kumaşın dokusuna uygun hassas gizli dikiş tekniği.
uskudar-mert-anahtar-1,mert-anahtar-cilingir-kuzguncuk,Mert Anahtar & Çilingir Hizmetleri,Kuzguncuk ve Üsküdar Acil Kapı Açma Bareli,Mert Usta,acil-ev,İstanbul,Üsküdar,Kuzguncuk (İcadiye),İcadiye Mah. Ayarcıbaşı Sok. No:9,41.0360,29.0280,0212 555 01 37,905550000137,5.0,175,plus,300,1100,18,Üsküdar ve Boğaz hattında 20 dk hızlı motorlu servis.
kuzguncuk-terzi-1,kuzguncuk-butik-terzi-tasarim,Kuzguncuk Butik Terzi & Tasarım,Kişiye Özel Kıyafet Dikimi & Paça Tadilatı,Nermin Hanım,terzi-lostra,İstanbul,Üsküdar,Kuzguncuk,Kuzguncuk Mah. İcadiye Cad. No:52,41.0350,29.0290,0212 555 01 38,905550000138,4.9,94,plus,150,1200,24,Keten ve ipek kumaşlarda uzman terzilik.
cengelkoy-vet-1,cengelkoy-pet-veteriner-klinigi,Çengelköy Pet Veteriner Kliniği,Acil Travma Cerrahi & Koruyucu Aşı Programı,Vet. Hekim Deniz Bey,pet-kuafor,İstanbul,Üsküdar,Çengelköy,Çengelköy Mah. Çengelköy Cad. No:68,41.0510,29.0520,0212 555 01 39,905550000139,4.9,165,plus,420,2500,15,Boğaz hattında modern veteriner görüntüleme ve tahlil.
uskudar-meydan-berber-1,uskudar-meydan-berber-salonu,Üsküdar Meydan Berber & Saç Bakım,Klasik Makas Tıraşı Yıkama & Cilt Maskesi,Turgut Usta,berber-kuafor,İstanbul,Üsküdar,Mimar Sinan,Mimar Sinan Mah. Hakimiyeti Milliye Cad. No:31,41.0260,29.0150,0212 555 01 40,905550000140,4.8,145,standard,180,600,22,Meydanda hızlı ve titiz mahalle berberliği.
altunizade-oto-1,altunizade-oto-bakim-lastik-park,Altunizade Oto Bakım & Lastik Park,Rot Balans Lastik Oteli & Fren Değişimi,Cem Usta,oto-bakim,İstanbul,Üsküdar,Altunizade,Altunizade Mah. Mahir İz Cad. No:27,41.0220,29.0380,0212 555 01 41,905550000141,4.8,118,standard,300,2600,17,Michelin Continental yetkili bayii ve kış lastiği saklama.
maslak-oto-kenan-1,maslak-oto-sanayi-kenan-usta-mekanik,Maslak Atatürk Oto Sanayi Kenan Usta Mekanik,Alman Grubu Motor Şanzıman & Periyodik Bakım,Kenan Usta,oto-bakim,İstanbul,Sarıyer,Maslak (Atatürk Oto Sanayi),Atatürk Oto Sanayi Sitesi 2. Kısım 14. Sok. No:442,41.1120,29.0210,0212 555 01 42,905550000142,5.0,290,plus,500,4500,26,BMW Mercedes Audi ve VAG grubu bilgisayarlı teşhis.
yenikoy-vet-1,yenikoy-veteriner-wellness-klinigi,Yeniköy Veteriner & Pet Wellness,Gelişmiş Laboratuvar Dijital Röntgen & Cerrahi,Vet. Hekim Gizem Hanım,pet-kuafor,İstanbul,Sarıyer,Yeniköy,Yeniköy Mah. Köybaşı Cad. No:102,41.1210,29.0680,0212 555 01 43,905550000143,4.9,185,plus,500,3200,14,Yeniköy sahil hattında 7/24 randevulu nöbetçi veteriner.
tarabya-terzi-1,tarabya-terzi-kuru-temizleme,Tarabya Terzi & Hassas Kuru Temizleme,Kaban Kaşmir Tadilatı Abiye Daraltma,Orhan Usta,terzi-lostra,İstanbul,Sarıyer,Tarabya,Tarabya Mah. Yeniköy Tarabya Yolu No:45,41.1350,29.0550,0212 555 01 44,905550000144,4.8,78,standard,200,1400,25,Kaşmir ve yünlü giysilerde özel dikiş işçiliği.
sariyer-merkez-berber-1,sariyer-sahil-erkek-kuaforu,Sarıyer Sahil Erkek Kuaförü & Sakal,Klasik Tıraş Saç Yıkama & Buharlı Cilt Terapisi,Ali Usta,berber-kuafor,İstanbul,Sarıyer,Merkez,Merkez Mah. Şehit Mithat Yılmaz Cad. No:28,41.1680,29.0520,0212 555 01 45,905550000145,4.8,132,standard,190,700,20,Sarıyer merkezde deniz manzaralı ferah salon.
bakirkoy-cilingir-1,bakirkoy-express-cilingir-kilit,Bakırköy Express Çilingir & Kilit,Hasarsız Oto ve Ev Kapısı Açma Bareli,Kamil Usta,acil-ev,İstanbul,Bakırköy,Zuhuratbaba,Zuhuratbaba Mah. İncirli Cad. No:56,40.9790,28.8720,0212 555 01 46,905550000146,4.9,195,plus,300,1200,21,İncirli ve Ataköy hattında 15 dk acil varış süresi.
yesilkoy-pet-1,yesilkoy-pet-kuafor-spa-merkezi,Yeşilköy Pet Kuaför & Spa Merkezi,Ozon Banyolu Kedi Köpek Tıraşı & Tırnak Spa,Derya Hanım,pet-kuafor,İstanbul,Bakırköy,Yeşilköy,Yeşilköy Mah. İstasyon Cad. No:34,40.9610,28.8250,0212 555 01 47,905550000147,4.9,140,plus,480,1800,9,Anksiyetesiz tüy tarama ve medikal banyo bakımı.
bakirkoy-terzi-1,bakirkoy-terzi-lostra-merkezi,Bakırköy Terzi & Lostra Merkezi,Deri Mont Tamiri Pantolon Paçası & Ayakkabı Boya,Harun Usta,terzi-lostra,İstanbul,Bakırköy,Cevizlik,Cevizlik Mah. Ebuzziya Cad. No:41,40.9760,28.8740,0212 555 01 48,905550000148,4.7,112,standard,110,850,27,Ebuzziya Caddesi üzerinde hızlı 20 dk paça servisi.
atakoy-oto-1,atakoy-oto-bakim-yikama-servisi,Ataköy Oto Bakım & Detaylı Yıkama,Nano Boya Koruma Jant Temizliği & Yağ Değişimi,Barış Usta,oto-bakim,İstanbul,Bakırköy,Ataköy (5. Kısım),Ataköy 5. Kısım Mah. Çarşı İçi No:12,40.9820,28.8590,0212 555 01 49,905550000149,4.8,124,standard,320,2400,13,Otogaraj içinde kurumsal servis ve vale teslimatı.
